40960,Org,20230809 23:47:58,20230810 00:08:58,0,0,0,Pulaski,Midway,41.87405,-87.62679,15,15
40960,Org,20230809 23:48:01,20230810 00:18:01,0,0,0,Pulaski,Midway,41.87803,-87.63371,14,14
40960,Org,20230809 23:47:33,20230810 00:32:33,0,0,0,Pulaski,Midway,41.83957,-87.66485,65,65
41020,Blue,20230809 23:47:54,20230809 23:51:54,0,0,0,Logan Square,O'Hare,41.91257,-87.68183,16,16
41020,Blue,20230809 23:48:01,20230809 23:54:01,0,0,0,Logan Square,Forest Park,41.95933,-87.7406,65,65
41020,Blue,20230809 23:47:46,20230809 23:59:46,0,0,0,Logan Square,O'Hare,41.88573,-87.63293,11,11
41020,Blue,20230809 23:47:50,20230810 00:08:50,0,0,0,Logan Square,Forest Park,41.92973,-87.70854,19,19
40260,G,20230809 23:57:49,20230809 23:59:49,0,0,0,State/Lake,Ashland/63rd,41.88571,-87.63742,9,9
40260,Org,20230809 23:57:58,20230810 00:04:58,0,0,0,State/Lake,Midway,41.87644,-87.62601,13,13
40260,Brn,20230809 23:57:59,20230810 00:08:59,0,0,0,State/Lake,Kimball,41.89051,-87.63553,14,14
40260,Pink,20230809 23:58:02,20230810 00:12:02,0,0,0,State/Lake,54th/Cermak,41.85445,-87.68127,15,15
40260,G,20230809 23:58:01,20230810 00:13:01,0,0,0,State/Lake,Harlem/Lake,41.82959,-87.62583,27,27
40260,G,20230809 23:57:45,20230810 00:13:45,0,0,0,State/Lake,Cottage Grove,41.88578,-87.73184,24,24
40260,Org,20230809 23:57:54,20230810 00:20:54,0,0,0,State/Lake,Midway,41.81212,-87.67967,25,25
40380,G,20230809 23:57:49,20230809 23:58:49,0,0,0,Clark/Lake,Ashland/63rd,41.88571,-87.63742,9,9
40380,Org,20230809 23:57:58,20230810 00:03:58,0,0,0,Clark/Lake,Midway,41.87644,-87.62601,13,13
40380,Brn,20230809 23:57:59,20230810 00:08:59,0,0,0,Clark/Lake,Kimball,41.89051,-87.63553,14,14
40380,Blue,20230809 23:58:02,20230810 00:10:02,0,0,0,Clark/Lake,Forest Park,41.91846,-87.69113,16,16
40380,Pink,20230809 23:58:02,20230810 00:10:02,0,0,0,Clark/Lake,54th/Cermak,41.85445,-87.68127,15,15
40380,G,20230809 23:57:45,20230810 00:11:45,0,0,0,Clark/Lake,Cottage Grove,41.88578,-87.73184,24,24
41700,G,20230809 23:57:49,20230810 00:01:49,0,0,0,Washington/Wabash,Ashland/63rd,41.88571,-87.63742,9,9
41700,Brn,20230809 23:57:59,20230810 00:06:59,0,0,0,Washington/Wabash,Kimball,41.89051,-87.63553,14,14
41700,Org,20230809 23:57:58,20230810 00:06:58,0,0,0,Washington/Wabash,Midway,41.87644,-87.62601,13,13
41700,G,20230809 23:58:01,20230810 00:11:01,0,0,0,Washington/Wabash,Harlem/Lake,41.82959,-87.62583,27,27
41700,Pink,20230809 23:58:02,20230810 00:14:02,0,0,0,Washington/Wabash,54th/Cermak,41.85445,-87.68127,15,15
41700,G,20230809 23:57:45,20230810 00:14:45,0,0,0,Washington/Wabash,Cottage Grove,41.88578,-87.73184,24,24
41700,Org,20230809 23:57:54,20230810 00:22:54,0,0,0,Washington/Wabash,Midway,41.81212,-87.67967,25,25
40680,G,20230809 23:57:49,20230810 00:02:49,0,0,0,Adams/Wabash,Ashland/63rd,41.88571,-87.63742,9,9
40680,Brn,20230809 23:57:59,20230810 00:05:59,0,0,0,Adams/Wabash,Kimball,41.89051,-87.63553,14,14
40680,Org,20230809 23:57:58,20230810 00:07:58,0,0,0,Adams/Wabash,Midway,41.87644,-87.62601,13,13
40680,G,20230809 23:58:01,20230810 00:10:01,0,0,0,Adams/Wabash,Harlem/Lake,41.82959,-87.62583,27,27
40680,Pink,20230809 23:58:02,20230810 00:14:02,0,0,0,Adams/Wabash,54th/Cermak,41.85445,-87.68127,15,15
40680,G,20230809 23:57:45,20230810 00:15:45,0,0,0,Adams/Wabash,Cottage Grove,41.88578,-87.73184,24,24
40680,Org,20230809 23:57:54,20230810 00:23:54,0,0,0,Adams/Wabash,Midway,41.81212,-87.67967,25,25
